feature,description
rgb_mean_r,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_mean_g,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_mean_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_sd_r,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_sd_g,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_sd_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
warmth_rgb_mean_r_minus_b,Mean red channel minus mean blue channel; positive values indicate warmer color balance.
warmth_rgb_mean_rg_minus_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_mean_l,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_mean_a,"CIELAB red-green axis mean; positive values are more red/magenta, negative values more green."
lab_mean_b,"CIELAB yellow-blue axis mean; positive values are more yellow, negative values more blue."
lab_sd_l,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_sd_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_sd_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_chroma_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
saturation_mean,Mean HSV saturation.
saturation_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
value_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
value_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_p01,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_p05,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_p50,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_p95,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_p99,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
dynamic_range_p95_p05,Difference between 95th and 5th luminance percentiles.
luma_iqr_p75_p25,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rms_contrast,Standard deviation of luminance; standard RMS contrast measure.
michelson_contrast_p95_p05,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
shadow_fraction,Proportion of pixels with luminance below 0.20.
deep_shadow_fraction,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_fraction,Proportion of pixels with luminance above 0.85.
clipped_shadow_fraction,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
clipped_highlight_fraction,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_cov_r_g,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_corr_r_g,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_cov_r_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_corr_r_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_cov_g_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
rgb_corr_g_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_cov_l_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_corr_l_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_cov_l_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_corr_l_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_cov_a_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lab_corr_a_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_00,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_01,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_02,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_03,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_04,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_05,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_06,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_07,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_08,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_09,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_10,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_hist_12bin_11,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_entropy_12bin,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
edge_density_canny,Proportion of pixels marked as edges by Canny detection; higher values indicate more fine structural complexity.
gradient_mag_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
gradient_mag_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
gradient_mag_p95,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
orientation_entropy,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
texture_highpass_std,"Standard deviation after subtracting a Gaussian blur; proxy for grain, fine texture, and high-frequency detail."
texture_highpass_mad,Median absolute deviation of high-pass texture; robust proxy for grain and fine texture.
laplacian_variance,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_contrast_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_contrast_p95,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
image_entropy_gray,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
top_luma_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
bottom_luma_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
top_bottom_luma_delta,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
left_warmth_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
right_warmth_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
left_right_warmth_delta,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
center_luma_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
edge_luma_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
center_edge_luma_delta,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_var_rgb_r,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_range_rgb_r,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_var_rgb_g,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
