group_type,group,n,point_index,PC1,PC2
model_key,chatgpt_image_2,144,0,-1.9260971837129757,-1.707365719199265
model_key,chatgpt_image_2,144,1,-1.9887105698871852,-1.695446674520957
model_key,chatgpt_image_2,144,2,-2.05096846447657,-1.6821020571366736
model_key,chatgpt_image_2,144,3,-2.1127736591691866,-1.6673527030823585
model_key,chatgpt_image_2,144,4,-2.1740296524902396,-1.651221641723514
model_key,chatgpt_image_2,144,5,-2.2346408004776825,-1.6337340597975798
model_key,chatgpt_image_2,144,6,-2.29451246601891,-1.614917262087832
model_key,chatgpt_image_2,144,7,-2.353551166615372,-1.5948006287902063
model_key,chatgpt_image_2,144,8,-2.411664720344404,-1.573415569639609
model_key,chatgpt_image_2,144,9,-2.468762389790352,-1.5507954748673445
model_key,chatgpt_image_2,144,10,-2.524755023720277,-1.5269756630662328
model_key,chatgpt_image_2,144,11,-2.5795551962830237,-1.5019933260448188
model_key,chatgpt_image_2,144,12,-2.633077343514307,-1.4758874707567806
model_key,chatgpt_image_2,144,13,-2.6852378969346855,-1.4486988583961984
model_key,chatgpt_image_2,144,14,-2.7359554140318254,-1.4204699407537906
model_key,chatgpt_image_2,144,15,-2.78515070542331,-1.3912447939334824
model_key,chatgpt_image_2,144,16,-2.8327469585014633,-1.3610690495327993
model_key,chatgpt_image_2,144,17,-2.8786698573671208,-1.3299898233945466
model_key,chatgpt_image_2,144,18,-2.9228476988650787,-1.2980556420410132
model_key,chatgpt_image_2,144,19,-2.965211504540064,-1.2653163669055671
model_key,chatgpt_image_2,144,20,-3.005695128338401,-1.2318231164799467
model_key,chatgpt_image_2,144,21,-3.0442353598872245,-1.1976281864988034
model_key,chatgpt_image_2,144,22,-3.0807720231899713,-1.1627849682861198
model_key,chatgpt_image_2,144,23,-3.115248070584057,-1.127347865390997
model_key,chatgpt_image_2,144,24,-3.1476096718140294,-1.0913722086429676
model_key,chatgpt_image_2,144,25,-3.177806298081121,-1.0549141697594766
model_key,chatgpt_image_2,144,26,-3.205790800937971,-1.018030673640411
model_key,chatgpt_image_2,144,27,-3.2315194859053284,-0.9807793094866261
model_key,chatgpt_image_2,144,28,-3.254952180695796,-0.9432182408812448
model_key,chatgpt_image_2,144,29,-3.2760522979380866,-0.9054061149741277
model_key,chatgpt_image_2,144,30,-3.2947868923038603,-0.8674019709113092
model_key,chatgpt_image_2,144,31,-3.3111267119479457,-0.8292651476523796
model_key,chatgpt_image_2,144,32,-3.325046244181622,-0.7910551913197447
model_key,chatgpt_image_2,144,33,-3.3365237553076543,-0.7528317622244229
