component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.29327068106787507,0.29327068106787507
PC2,0.14119960262143144,0.4344702836893065
PC3,0.07239887268940129,0.5068691563787078
PC4,0.05646904950406108,0.5633382058827688
PC5,0.05258037253155198,0.6159185784143208
PC6,0.04497403665011451,0.6608926150644354
PC7,0.02859000820882271,0.6894826232732582
PC8,0.02411816257653901,0.7136007858497971
PC9,0.021803188984702702,0.7354039748344998
PC10,0.01943877741848506,0.7548427522529849
