component,feature,loading
PC1,rgb_mean_r,0.07566156441464768
PC1,rgb_mean_g,0.11632498658434143
PC1,rgb_mean_b,0.12383865600170052
PC1,rgb_sd_r,0.045128328046655786
PC1,rgb_sd_g,0.11309067279418662
PC1,rgb_sd_b,0.12581377639431385
PC1,warmth_rgb_mean_r_minus_b,-0.08696301553853795
PC1,warmth_rgb_mean_rg_minus_b,-0.08353935493552109
PC1,lab_mean_l,0.1094632317174097
PC1,lab_mean_a,-0.07840959002886039
PC1,lab_mean_b,-0.07942250768686877
PC1,lab_sd_l,0.10684133796813106
PC1,lab_sd_a,-0.05791543132877297
PC1,lab_sd_b,-0.08625758432244646
PC1,lab_chroma_mean,-0.07833719148668353
PC1,saturation_mean,-0.10098058928534377
PC1,saturation_sd,0.014303207476435514
PC1,value_mean,0.09261521349174141
PC1,value_sd,0.07297062054099435
PC1,luma_mean,0.11145955025087646
PC1,luma_sd,0.11017385747516947
PC1,luma_p01,-0.027728664575770102
PC1,luma_p05,-0.009288641832231657
PC1,luma_p50,0.10199095598952516
PC1,luma_p95,0.10614206465729276
PC1,luma_p99,0.07455681181438513
PC1,dynamic_range_p95_p05,0.10512972123681913
PC1,luma_iqr_p75_p25,0.10574978560635236
PC1,rms_contrast,0.11017385716065847
PC1,michelson_contrast_p95_p05,0.04251011647198445
PC1,shadow_fraction,-0.01724380234982933
PC1,deep_shadow_fraction,-0.08176525869813565
PC1,highlight_fraction,0.016871004046296496
PC1,clipped_shadow_fraction,0.026220247855831037
PC1,clipped_highlight_fraction,0.003671495954080113
PC1,rgb_cov_r_g,0.09486480895946064
PC1,rgb_corr_r_g,0.06685919035319354
PC1,rgb_cov_r_b,0.11770753309129084
PC1,rgb_corr_r_b,0.09753646585037419
PC1,rgb_cov_g_b,0.12220028735943614
PC1,rgb_corr_g_b,0.08786580318199984
PC1,lab_cov_l_a,-0.08032631157848083
PC1,lab_corr_l_a,-0.07241369973245806
PC1,lab_cov_l_b,-0.10715968879141927
PC1,lab_corr_l_b,-0.11145066572488196
PC1,lab_cov_a_b,-0.07238631553442346
PC1,lab_corr_a_b,-0.04497236205777928
PC1,hue_entropy_12bin,0.0281627596217278
PC1,edge_density_canny,-0.006037559536034567
PC1,gradient_mag_mean,0.023208691521825555
PC1,gradient_mag_sd,0.04758541373107549
PC1,gradient_mag_p95,0.03136043832805886
PC1,orientation_entropy,-0.05085988089172799
PC1,texture_highpass_std,0.032145828068360846
PC1,texture_highpass_mad,-0.009889480164038735
PC1,laplacian_variance,0.004569081367526696
PC1,local_contrast_mean,0.0457825900852295
PC1,local_contrast_p95,0.06389344649232981
PC1,image_entropy_gray,0.10945320841075992
PC1,top_luma_mean,0.10137381920384211
PC1,bottom_luma_mean,0.08509076056025427
PC1,top_bottom_luma_delta,0.046673307324189686
PC1,left_warmth_mean,-0.07870615676680963
PC1,right_warmth_mean,-0.07845042566323462
PC1,left_right_warmth_delta,-0.005095445648060228
PC1,center_luma_mean,0.029280093248234655
PC1,edge_luma_mean,0.11270903173071578
PC1,center_edge_luma_delta,-0.06829989074989226
PC1,color_spatial_var_rgb_r,0.0409832019708015
PC1,color_spatial_range_rgb_r,0.043182295837076674
PC1,color_spatial_var_rgb_g,0.07751904113237006
PC1,color_spatial_range_rgb_g,0.08078830959468386
PC1,color_spatial_var_rgb_b,0.0904600292994053
PC1,color_spatial_range_rgb_b,0.09725265466247313
PC1,color_spatial_var_lab_l,0.07226610239491282
PC1,color_spatial_range_lab_l,0.07361538259400721
PC1,color_spatial_var_lab_a,-0.030784953137888406
PC1,color_spatial_range_lab_a,-0.03814974724756945
PC1,color_spatial_var_lab_b,-0.06268099956054185
PC1,color_spatial_range_lab_b,-0.0718991165749478
PC1,halation_bright_threshold_luma,0.0874504589669407
PC1,halation_bright_fraction,0.029263435585222448
PC1,halation_ring_fraction,-0.02015957747713749
PC1,red_highlight_excess_mean,-0.074308027279181
PC1,warm_highlight_excess_mean,-0.09574637426342583
PC1,halation_ring_red_excess_mean,-0.09851318032676126
PC1,halation_ring_red_excess_p95,-0.1084650837279951
PC1,halation_background_red_excess_mean,-0.08045411043063806
PC1,halation_index_ring_minus_background,-0.06684299455744565
PC1,local_lab_cov_l_a_mean,-0.07006859821507463
PC1,local_lab_cov_l_a_sd,-0.03796002873083153
PC1,local_lab_cov_l_a_abs_mean,-0.053273307346423396
PC1,local_lab_cov_l_a_p90_abs,-0.047868016799833865
PC1,local_lab_corr_l_a_mean,-0.06418980978415519
PC1,local_lab_corr_l_a_sd,-0.0007025538915550598
PC1,local_lab_corr_l_a_abs_mean,-0.03925014458871673
PC1,local_lab_corr_l_a_p90_abs,-0.04543149674151118
PC1,local_lab_cov_l_b_mean,-0.10721154829456009
PC1,local_lab_cov_l_b_sd,-0.06922435923348431
PC1,local_lab_cov_l_b_abs_mean,-0.08694987258578463
PC1,local_lab_cov_l_b_p90_abs,-0.08713664965614412
PC1,local_lab_corr_l_b_mean,-0.11176007313105957
PC1,local_lab_corr_l_b_sd,0.06905444453103513
PC1,local_lab_corr_l_b_abs_mean,-0.09824613386184813
PC1,local_lab_corr_l_b_p90_abs,-0.08653775137927548
PC1,local_lab_cov_a_b_mean,-0.08412088465829154
PC1,local_lab_cov_a_b_sd,-0.06742501173690149
PC1,local_lab_cov_a_b_abs_mean,-0.08712206329011332
PC1,local_lab_cov_a_b_p90_abs,-0.07499810646466995
PC1,local_lab_corr_a_b_mean,-0.06703027627488953
PC1,local_lab_corr_a_b_sd,0.046409539406870516
PC1,local_lab_corr_a_b_abs_mean,-0.07867573399128899
PC1,local_lab_corr_a_b_p90_abs,-0.06415492015229192
PC1,hue_circular_mean_turns,0.022598614851782477
PC1,hue_resultant_length,-0.02360578282172455
PC1,hue_circular_variance,0.02360578282172455
PC1,hue_warm_share,-0.07583647913305286
PC1,hue_red_orange_share,-0.07293384532002649
PC1,hue_yellow_share,-0.015931238455754775
PC1,hue_green_share,0.03363540032498221
PC1,hue_teal_cyan_share,0.07089107102155158
PC1,hue_blue_share,0.02830757397976069
