target,target_label,method,rank,feature,coefficient,abs_coefficient
model_key,Model,LASSO logistic,1,laplacian_variance,3.07708966652718,3.07708966652718
model_key,Model,LASSO logistic,2,texture_highpass_mad,-2.3548241651483734,2.3548241651483734
model_key,Model,LASSO logistic,3,fft_mid_freq_log_power_mean,2.319703601365063,2.319703601365063
model_key,Model,LASSO logistic,4,local_lab_cov_l_b_mean,-1.735013642509106,1.735013642509106
model_key,Model,LASSO logistic,5,color_spatial_var_rgb_r,-1.4269326059904028,1.4269326059904028
model_key,Model,LASSO logistic,6,fft_high_freq_log_power_mean,1.3471000423519501,1.3471000423519501
model_key,Model,LASSO logistic,7,edge_density_canny,-1.3407372377983988,1.3407372377983988
model_key,Model,LASSO logistic,8,palette_within_cluster_lab_rmse,1.2110310386118752,1.2110310386118752
model_key,Model,LASSO logistic,9,luma_p05,-1.1927093536294495,1.1927093536294495
model_key,Model,LASSO logistic,10,highlight_midtone_lab_b_delta,-0.8975056510701138,0.8975056510701138
model_key,Model,LASSO logistic,11,hue_hist_12bin_02,0.7062323319988186,0.7062323319988186
model_key,Model,LASSO logistic,12,local_lab_cov_a_b_sd,0.6595297961379153,0.6595297961379153
model_key,Model,LASSO logistic,13,shadow_fraction,0.6491296378521265,0.6491296378521265
model_key,Model,LASSO logistic,14,lab_chroma_mean,0.6050097229438152,0.6050097229438152
model_key,Model,LASSO logistic,15,rgb_sd_r,-0.5783554703871693,0.5783554703871693
model_key,Model,LASSO logistic,16,midtone_lab_b,0.5419606001287931,0.5419606001287931
model_key,Model,LASSO logistic,17,left_right_warmth_delta,0.46220133929048746,0.46220133929048746
model_key,Model,LASSO logistic,18,hue_hist_12bin_10,0.4562771094225305,0.4562771094225305
model_key,Model,LASSO logistic,19,shadow_compression_ratio,0.44480474276996257,0.44480474276996257
model_key,Model,LASSO logistic,20,clipped_shadow_fraction,0.42697454177099564,0.42697454177099564
model_key,Model,LASSO logistic,21,hue_hist_12bin_11,0.40310145694358396,0.40310145694358396
model_key,Model,LASSO logistic,22,local_lab_corr_a_b_sd,0.3992723774096456,0.3992723774096456
model_key,Model,LASSO logistic,23,palette_top2_share_gap,-0.3732040817909476,0.3732040817909476
model_key,Model,LASSO logistic,24,local_lab_corr_l_a_sd,-0.34863994784182795,0.34863994784182795
model_key,Model,LASSO logistic,25,orientation_entropy,0.33371198760141235,0.33371198760141235
model_key,Model,LASSO logistic,26,palette_dominant_lab_l,0.30814958058136505,0.30814958058136505
model_key,Model,LASSO logistic,27,palette_top2_lab_distance,-0.3076658156597533,0.3076658156597533
model_key,Model,LASSO logistic,28,palette_dominant_lab_a,0.2994514121308982,0.2994514121308982
model_key,Model,LASSO logistic,29,midtone_fraction,0.2589774258609943,0.2589774258609943
model_key,Model,LASSO logistic,30,color_spatial_range_rgb_r,-0.23679149073115657,0.23679149073115657
model_key,Model,LASSO logistic,31,luma_kurtosis_excess,0.17831248215450315,0.17831248215450315
model_key,Model,LASSO logistic,32,hue_red_orange_highlight_share,0.15592587315154938,0.15592587315154938
model_key,Model,LASSO logistic,33,hue_teal_cyan_shadow_share,-0.11953110296727269,0.11953110296727269
model_key,Model,LASSO logistic,34,halation_index_ring_minus_background,-0.09838177722129654,0.09838177722129654
model_key,Model,LASSO logistic,35,hue_blue_share,-0.07099144048366139,0.07099144048366139
model_key,Model,LASSO logistic,36,halation_ring_fraction,-0.06364990409403978,0.06364990409403978
model_key,Model,LASSO logistic,37,shadow_rolloff_ratio,-0.05358084520698362,0.05358084520698362
model_key,Model,LASSO logistic,38,fft_low_freq_power_share,0.04907960884268725,0.04907960884268725
model_key,Model,LASSO logistic,39,local_lab_cov_l_a_abs_mean,0.019739941299486214,0.019739941299486214
model_key,Model,LASSO logistic,40,hue_entropy_12bin,0.019391496461976736,0.019391496461976736
model_key,Model,Ridge logistic,1,texture_highpass_mad,-0.5239082596665866,0.5239082596665866
model_key,Model,Ridge logistic,2,fft_mid_freq_log_power_mean,0.4734663637860924,0.4734663637860924
model_key,Model,Ridge logistic,3,fft_high_freq_log_power_mean,0.43186679924911003,0.43186679924911003
