rank_robust_distance,variant_id,run_id,model_key,scene_key,film_key,light_key,scan_key,replicate,image_path,robust_mahalanobis_sq_pc10,empirical_mahalanobis_sq_pc10,chi_square_df,chi_square_975_cutoff,flag_robust_outlier_975,robust_tail_p_value
1,run3_xai_grok_imagine_corner_store_cinestill800t_warm_practical_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,corner_store,cinestill800t,warm_practical,pushed_scan,2,data/images/run3_xai_grok_imagine_corner_store_cinestill800t_warm_practical_pushed_scan_rep02_00001_.png,64.8076398728584,41.779859308267525,10,20.48317735080739,1,4.4116188480103347e-10
2,run3_xai_grok_imagine_corner_store_portra400_warm_practical_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,corner_store,portra400,warm_practical,pushed_scan,2,data/images/run3_xai_grok_imagine_corner_store_portra400_warm_practical_pushed_scan_rep02_00001_.png,43.16944183020593,27.02053468940826,10,20.48317735080739,1,4.637822779818279e-06
3,run3_xai_grok_imagine_apartment_cinestill800t_cool_ambient_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,cinestill800t,cool_ambient,pushed_scan,2,data/images/run3_xai_grok_imagine_apartment_cinestill800t_cool_ambient_pushed_scan_rep02_00001_.png,36.23108191699085,25.42281600140013,10,20.48317735080739,1,7.681513575397148e-05
4,run3_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,cinestill800t,cool_ambient,clean_scan,2,data/images/run3_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep02_00001_.png,35.28859294681994,24.077809101166817,10,20.48317735080739,1,0.00011146611804702111
5,run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,apartment,cinestill800t,cool_ambient,clean_scan,1,data/images/run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep01_00001_.png,32.88525919348896,22.146532898615114,10,20.48317735080739,1,0.0002847459312176337
6,run3_xai_grok_imagine_backstage_portra400_warm_practical_clean_scan_rep01,filmstock_20260503_114446_63c69b,xai_grok_imagine,backstage,portra400,warm_practical,clean_scan,1,data/images/run3_xai_grok_imagine_backstage_portra400_warm_practical_clean_scan_rep01_00001_.png,29.75931232091179,22.22089308137349,10,20.48317735080739,1,0.0009378206304050396
7,run3_xai_grok_imagine_apartment_portra400_cool_ambient_clean_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,portra400,cool_ambient,clean_scan,2,data/images/run3_xai_grok_imagine_apartment_portra400_cool_ambient_clean_scan_rep02_00001_.png,28.61593439348837,18.854376516267816,10,20.48317735080739,1,0.0014374083224808487
8,run2_chatgpt_image_2_corner_store_portra400_warm_practical_clean_scan_rep02,filmstock_20260503_085439_ff0729,chatgpt_image_2,corner_store,portra400,warm_practical,clean_scan,2,data/images/run2_chatgpt_image_2_corner_store_portra400_warm_practical_clean_scan_rep02_00001_.png,28.011639444983178,20.846329137384423,10,20.48317735080739,1,0.0017975188753330817
9,run1_xai_grok_imagine_corner_store_cinestill800t_warm_practical_pushed_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,corner_store,cinestill800t,warm_practical,pushed_scan,2,data/images/run1_xai_grok_imagine_corner_store_cinestill800t_warm_practical_pushed_scan_rep02_00001_.png,23.896282187262393,19.39644279474009,10,20.48317735080739,1,0.007880499525642626
10,run2_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep02,filmstock_20260503_085439_ff0729,xai_grok_imagine,backstage,portra400,warm_practical,pushed_scan,2,data/images/run2_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep02_00001_.png,23.409292463157662,19.560998660631334,10,20.48317735080739,1,0.009332575758664752
11,run1_chatgpt_image_2_corner_store_portra400_warm_practical_pushed_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,portra400,warm_practical,pushed_scan,1,data/images/run1_chatgpt_image_2_corner_store_portra400_warm_practical_pushed_scan_rep01_00001_.png,23.237100703616104,20.219082078855834,10,20.48317735080739,1,0.009904435596816308
12,run1_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,apartment,portra400,cool_ambient,pushed_scan,1,data/images/run1_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep01_00001_.png,22.279607388275988,15.087807065398486,10,20.48317735080739,1,0.013741845284473864
13,run3_chatgpt_image_2_corner_store_portra400_cool_ambient_clean_scan_rep02,filmstock_20260503_114446_63c69b,chatgpt_image_2,corner_store,portra400,cool_ambient,clean_scan,2,data/images/run3_chatgpt_image_2_corner_store_portra400_cool_ambient_clean_scan_rep02_00001_.png,22.167859552333162,19.57469704747969,10,20.48317735080739,1,0.014271929515657367
14,run2_xai_grok_imagine_apartment_portra400_warm_practical_clean_scan_rep01,filmstock_20260503_085439_ff0729,xai_grok_imagine,apartment,portra400,warm_practical,clean_scan,1,data/images/run2_xai_grok_imagine_apartment_portra400_warm_practical_clean_scan_rep01_00001_.png,21.997417552709166,15.235790025008116,10,20.48317735080739,1,0.015117761992038181
15,run1_chatgpt_image_2_apartment_portra400_warm_practical_clean_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,apartment,portra400,warm_practical,clean_scan,1,data/images/run1_chatgpt_image_2_apartment_portra400_warm_practical_clean_scan_rep01_00001_.png,21.658705103155956,19.297886743543916,10,20.48317735080739,1,0.01694089409920696
16,run3_xai_grok_imagine_corner_store_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,corner_store,portra400,cool_ambient,pushed_scan,2,data/images/run3_xai_grok_imagine_corner_store_portra400_cool_ambient_pushed_scan_rep02_00001_.png,21.26775266250775,16.784721644684822,10,20.48317735080739,1,0.019301970271011215
17,run2_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_085439_ff0729,xai_grok_imagine,apartment,portra400,cool_ambient,pushed_scan,2,data/images/run2_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep02_00001_.png,21.057596528715237,14.384485461952897,10,20.48317735080739,1,0.020695501862457832
18,run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,cinestill800t,warm_practical,clean_scan,1,data/images/run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep01_00001_.png,20.982519858642362,15.77047138350876,10,20.48317735080739,1,0.021215786085028054
19,run1_xai_grok_imagine_corner_store_portra400_cool_ambient_clean_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,corner_store,portra400,cool_ambient,clean_scan,1,data/images/run1_xai_grok_imagine_corner_store_portra400_cool_ambient_clean_scan_rep01_00001_.png,20.8186929076291,18.85522512602119,10,20.48317735080739,1,0.02239391407186675
20,run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_pushed_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,apartment,cinestill800t,cool_ambient,pushed_scan,2,data/images/run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_pushed_scan_rep02_00001_.png,20.752217202034462,21.771449967968294,10,20.48317735080739,1,0.022889184605291102
