effect_type,effect_label,feature,feature_label,feature_family,mean_chatgpt_raw,mean_xai_raw,mean_chatgpt_standardized,mean_xai_standardized,abs_standardized_model_gap,n_pairs,mean_chatgpt,mean_xai,mean_difference_xai_minus_chatgpt,median_difference_xai_minus_chatgpt,sd_difference,se_difference,ci95_low,ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,paired_t_statistic,paired_t_p_value,cohens_dz,wilcoxon_statistic,wilcoxon_p_value,holm_adjusted_p_all_features,bh_fdr_p_all_features
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_b_abs_mean,Local L-b covariance,color,57.32520163371641,14.555262560491466,2.008311418121499,0.5099240676163375,1.498387350505162,72,57.32520163371641,14.555262560491466,-42.76993907322495,-38.4610940035806,35.58672345775605,4.193935579531614,-51.13240910720381,-34.40746903924608,-51.01251317488248,-34.950572410944915,-10.198043880779295,1.4983821319735558e-15,-1.2018509971561693,85.0,5.319772253266978e-12,8.73556782940583e-13,2.9218451573484337e-13
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_corr_l_b_abs_mean,local_lab_corr_l_b_abs_mean,color,0.2441968751469117,0.05317503125585981,1.8459176712298335,0.40195735430413726,1.4439603169256963,72,0.2441968751469117,0.05317503125585981,-0.19102184389105192,-0.19158111930815724,0.15097581118009035,0.017792669980096945,-0.2264994201941322,-0.15554426758797166,-0.22575258761227546,-0.15654684832462276,-10.735985330179837,1.6059052587716848e-16,-1.2652480049482429,100.0,9.58531218811501e-12,9.394545763814356e-14,9.394545763814356e-14
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_b_p90_abs,local_lab_cov_l_b_p90_abs,color,121.7930391620633,33.33061900901929,1.9848105196804964,0.5431752396664923,1.4416352800140042,72,121.7930391620633,33.33061900901929,-88.462420153044,-78.3737848188959,71.12611232203007,8.38229272372392,-105.17623713685394,-71.74860316923404,-104.64911434859148,-72.06236165193442,-10.55348734155679,3.4155820571952264e-16,-1.2437404107301997,78.0,4.032059644263003e-12,1.9946999214020122e-13,9.990577517296038e-14
lighting_warm_minus_cool,Warm practical minus cool ambient,split_tone_distance_lab_ab,Split-tone Lab distance,color,16.642294414267578,4.14877897907018,1.865917717967169,0.46515702776776535,1.4007606901994036,72,16.642294414267578,4.14877897907018,-12.493515435197398,-11.966684906821328,11.85057269526391,1.3966033856275422,-15.278263493480182,-9.708767376914615,-15.289442121992245,-9.73846792150935,-8.945643096507053,2.958339637818061e-13,-1.0542541492691269,173.0,1.5241083812028077e-10,1.7217536692101114e-10,4.3265717203089144e-11
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_b_sd,local_lab_cov_l_b_sd,color,45.91602838323099,12.970950991241091,1.838520574059012,0.5193689677049069,1.319151606354105,72,45.91602838323099,12.970950991241091,-32.9450773919899,-30.19784808439939,31.43742372677134,3.7049359167058133,-40.33250979139851,-25.557644992581288,-40.095473595449754,-25.548387032249924,-8.892212478882094,3.713811764536503e-13,-1.0479572905948613,200.0,4.067203927270316e-10,2.1577246351957083e-10,4.3451597645077085e-11
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_a_abs_mean,Local L-a covariance,color,17.627580976622525,2.1902163248382,1.4616970285362807,0.18161497587861597,1.2800820526576648,72,17.627580976622525,2.1902163248382,-15.437364651784321,-16.494752917419003,15.78241170766951,1.8599750569951785,-19.14604958103815,-11.728679722530496,-18.947837994894282,-11.77394491336769,-8.299769716656119,4.64872748045547e-12,-0.9781372414890487,238.0,1.5586003402872499e-09,2.691613211183717e-09,3.8850079658092137e-10
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_a_p90_abs,local_lab_cov_l_a_p90_abs,color,45.301609704857775,5.690735994983651,1.4036842593254246,0.17632919872334232,1.2273550606020822,72,45.301609704857775,5.690735994983651,-39.61087370987413,-39.914861408324526,43.709477277344185,5.151211297488231,-49.88209731287225,-29.339650106876007,-49.586444108820274,-29.452296486577595,-7.689623162844957,6.286713264837602e-11,-0.9062307805361361,256.0,2.899809242503887e-09,3.621146840546459e-08,3.677727259929997e-09
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_corr_a_b_abs_mean,local_lab_corr_a_b_abs_mean,color,0.16938164171492054,0.04614944448860054,1.5631299093724742,0.4258878131696707,1.1372420962028034,72,0.16938164171492054,0.04614944448860054,-0.12323219722632005,-0.12985924248923436,0.13860734818255682,0.01633503263702847,-0.1558033272164648,-0.09066106723617529,-0.15590090518473132,-0.09130014661959492,-7.544043526853791,1.1688168769626996e-10,-0.8890740559007991,281.0,6.756025041738334e-09,6.720697042535522e-08,6.215980663847084e-09
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_corr_l_b_p90_abs,local_lab_corr_l_b_p90_abs,color,0.1495052879900683,0.05199557613604317,1.707778922249413,0.5939385166178734,1.11384040563154,72,0.1495052879900683,0.05199557613604317,-0.09750971185402507,-0.10931697665077389,0.1275935230665385,0.01503704089930526,-0.12749271982721821,-0.06752670388083193,-0.1269127725759626,-0.06782352094857837,-6.4846343444161425,1.019758784210693e-08,-0.7642214864086393,376.0,1.4113215147011746e-07,5.843217833527271e-06,4.588914528948119e-07
lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_a_b_p90_abs,local_lab_cov_a_b_p90_abs,color,69.63521364024412,24.269535375497554,1.6065508079449167,0.5599213332982406,1.0466294746466756,72,69.63521364024412,24.269535375497554,-45.36567826474657,-36.36505157856785,49.61982978742909,5.847753020668893,-57.02576661710853,-33.70558991238461,-57.10720942571994,-34.365297034256834,-7.7577965595334675,4.701000311609491e-11,-0.9142650923852971,176.0,1.701617537445644e-10,2.7124771797986765e-08,3.055650202546169e-09
