term,term_label,pillai_trace,permutation_p_value,n_permutations,response_components,covariates,permutation_scheme,holm_adjusted_p,bh_fdr_p
model,model,0.12020180720847247,0.001,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,0.01,0.0016666666666666668
film,film,0.12321360833862727,0.001,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,0.01,0.0016666666666666668
light,light,0.6447397679889948,0.001,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,0.01,0.0016666666666666668
scan,scan,0.09523407910479667,0.001,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,0.01,0.0016666666666666668
model:film,model by film,0.014700713814856969,0.43,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,1.0,0.47777777777777775
model:light,model by light,0.23304203933258966,0.001,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,0.01,0.0016666666666666668
model:scan,model by scan,0.019424662962039072,0.255,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,1.0,0.3575
film:light,film by light,0.12447817042259353,0.001,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,0.01,0.0016666666666666668
film:scan,film by scan,0.007351556675867553,0.717,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,1.0,0.717
light:scan,light by scan,0.018029341141805134,0.286,999,"PC1, PC2, PC3, PC4","scene fixed effects, run-block fixed effects, within-run replicate fixed effect",residual permutations constrained within run_id blocks,1.0,0.3575
