metric,metric_label,method,term,estimate,standard_error,ci95_low,ci95_high,p_value
distance_all_selected_features,All selected features,OLS HC3,Intercept,7.933644535461228,0.30469061173338025,7.3347401620520865,8.53254890887037,0.0
distance_all_selected_features,All selected features,OLS HC3,xAI model,-0.03516324661226716,0.3440023050489266,-0.7113392659013342,0.6410127726768,0.918632264509414
distance_all_selected_features,All selected features,OLS HC3,Lighting effect,3.0406321599396637,0.33608859667621543,2.3800114428876364,3.701252876991691,0.0
distance_all_selected_features,All selected features,OLS HC3,Scan effect,-0.0678599115041098,0.31016760711672775,-0.6775299480545196,0.5418101250462999,0.8269238256167104
distance_all_selected_features,All selected features,OLS HC3,xAI by lighting effect,-1.3936787017128016,0.5096482338092311,-2.3954508088090503,-0.3919065946165532,0.006509503187522192
distance_all_selected_features,All selected features,OLS HC3,xAI by scan effect,-0.3477875458778836,0.48087336303975,-1.2929993413515173,0.59742424959575,0.46993318266031725
distance_all_selected_features,All selected features,OLS HC3,Backstage scene,-0.6965068733409956,0.23569662821750345,-1.1597956521917638,-0.2332180944902273,0.003301213730548813
distance_all_selected_features,All selected features,OLS HC3,Corner store scene,-0.24224119074434577,0.26245939613227476,-0.7581352620834695,0.2736528805947779,0.35655339332656144
distance_all_selected_features,All selected features,OLS HC3,Run block 2,-0.6067366838962834,0.2589470822550416,-1.1157268991241422,-0.09774646866842474,0.01958938064903326
distance_all_selected_features,All selected features,OLS HC3,Run block 3,-0.5802100778281992,0.26659678757220556,-1.1042366669819788,-0.05618348867441969,0.030083703280259666
distance_all_selected_features,All selected features,OLS HC3,Within-run replicate 2,0.13837343704143334,0.2034816201437838,-0.26159304541496986,0.5383399194978365,0.49685975298462703
distance_all_selected_features,All selected features,Two-stage WLS,Intercept,7.858364885046452,0.3063727310491544,7.256154113028302,8.460575657064602,0.0
distance_all_selected_features,All selected features,Two-stage WLS,xAI model,-0.19238740010618932,0.31417008680233877,-0.8099247699313481,0.4251499697189695,0.5406255565129685
distance_all_selected_features,All selected features,Two-stage WLS,Lighting effect,3.098718990487348,0.33239838860267723,2.445351801010255,3.752086179964441,0.0
distance_all_selected_features,All selected features,Two-stage WLS,Scan effect,-0.08160463330721612,0.29511029805713374,-0.6616778004422497,0.4984685338278174,0.7822824935008685
distance_all_selected_features,All selected features,Two-stage WLS,xAI by lighting effect,-1.4804220976214102,0.45647528331986803,-2.37767666670105,-0.5831675285417703,0.0012762694061456692
distance_all_selected_features,All selected features,Two-stage WLS,xAI by scan effect,-0.34036805034142836,0.43028883010606217,-1.1861501396337824,0.5054140389509255,0.42937638487770435
distance_all_selected_features,All selected features,Two-stage WLS,Backstage scene,-0.6787759961164452,0.2148735679803263,-1.1011346597501417,-0.2564173324827489,0.0016975008880713016
distance_all_selected_features,All selected features,Two-stage WLS,Corner store scene,-0.2987535359131745,0.21487356798032625,-0.7211121995468708,0.12360512772052173,0.16515144344257782
distance_all_selected_features,All selected features,Two-stage WLS,Run block 2,-0.4816126145030655,0.24086888507740853,-0.9550680579457288,-0.008157171060402146,0.04619857221727952
distance_all_selected_features,All selected features,Two-stage WLS,Run block 3,-0.5428192553667178,0.2507102567960219,-1.0356190446331381,-0.05001946610029756,0.03093916504887484
distance_all_selected_features,All selected features,Two-stage WLS,Within-run replicate 2,0.14718301311116733,0.1754435335876775,-0.19767139167094877,0.4920374178932834,0.40199052984656314
distance_all_selected_features,All selected features,Huber IRLS,Intercept,7.7781041400540145,0.2795963594037223,7.228525400218434,8.327682879889595,0.0
distance_all_selected_features,All selected features,Huber IRLS,xAI model,-0.15262476143048398,0.2919504472435387,-0.7264868790657761,0.4212373562048082,0.6014049665552501
distance_all_selected_features,All selected features,Huber IRLS,Lighting effect,3.1295988999789324,0.2935207403182942,2.5526501910481127,3.706547608909752,0.0
distance_all_selected_features,All selected features,Huber IRLS,Scan effect,-0.026420629193824416,0.29155927398236564,-0.5995138508807167,0.546672592493068,0.9278389241586664
distance_all_selected_features,All selected features,Huber IRLS,xAI by lighting effect,-1.3983120374815567,0.4155643392692627,-2.215151449780309,-0.5814726251828043,0.0008360617087996847
distance_all_selected_features,All selected features,Huber IRLS,xAI by scan effect,-0.43457460381728047,0.4129404499203232,-1.2462564603991648,0.37710725276460394,0.29322407870147815
distance_all_selected_features,All selected features,Huber IRLS,Backstage scene,-0.5291941711276957,0.2072386356119681,-0.9365454987621654,-0.12184284349322605,0.011014573656664473
distance_all_selected_features,All selected features,Huber IRLS,Corner store scene,-0.26602822226644846,0.2078805963106293,-0.6746413973460945,0.1425849528131976,0.20134963352558755
distance_all_selected_features,All selected features,Huber IRLS,Run block 2,-0.4482809640319171,0.20788521494516674,-0.8569032175679288,-0.03965871049590536,0.03161914685339373
distance_all_selected_features,All selected features,Huber IRLS,Run block 3,-0.4649511758746403,0.20828121798052937,-0.8743518188346409,-0.05555053291463968,0.026118841447944963
distance_all_selected_features,All selected features,Huber IRLS,Within-run replicate 2,-0.02296206628287667,0.1693165339895782,-0.35577315002434085,0.3098490174585875,0.8921895103553883
distance_color_features,Color features,OLS HC3,Intercept,6.135684036824659,0.27720594272700694,5.590803935367893,6.680564138281426,0.0
distance_color_features,Color features,OLS HC3,xAI model,-0.03910612051370432,0.2612716966694419,-0.5526656322202236,0.47445339119281493,0.8810918660087328
distance_color_features,Color features,OLS HC3,Lighting effect,3.418030415549497,0.3046101082566491,2.819284280965026,4.016776550133968,0.0
